state,year,category,cases
ANDHRA PRADESH,2016,data theft,0.0
ANDHRA PRADESH,2016,extortion,7.0
ANDHRA PRADESH,2016,hate crime,2.0
ANDHRA PRADESH,2016,illegal trade,1.0
ANDHRA PRADESH,2016,personal revenge,6.0
ANDHRA PRADESH,2016,piracy,0.0
ANDHRA PRADESH,2016,political motive,0.0
ANDHRA PRADESH,2016,prank,0.0
ANDHRA PRADESH,2016,sexual exploitation,7.0
ANDHRA PRADESH,2017,abetment suicide,0.0
ANDHRA PRADESH,2017,data theft,0.0
ANDHRA PRADESH,2017,emotional motive,5.0
ANDHRA PRADESH,2017,extortion,65.0
ANDHRA PRADESH,2017,fraud,537.0
ANDHRA PRADESH,2017,hate crime,0.0
ANDHRA PRADESH,2017,illegal trade,0.0
ANDHRA PRADESH,2017,personal revenge,24.0
ANDHRA PRADESH,2017,piracy,1.0
ANDHRA PRADESH,2017,political motive,12.0
ANDHRA PRADESH,2017,prank,0.0
ANDHRA PRADESH,2017,sexual exploitation,61.0
ANDHRA PRADESH,2017,terrorism,16.0
ANDHRA PRADESH,2018,abetment suicide,1.0
ANDHRA PRADESH,2018,data theft,0.0
ANDHRA PRADESH,2018,emotional motive,26.0
ANDHRA PRADESH,2018,extortion,45.0
ANDHRA PRADESH,2018,fraud,733.0
ANDHRA PRADESH,2018,hate crime,1.0
ANDHRA PRADESH,2018,illegal trade,0.0
ANDHRA PRADESH,2018,personal revenge,34.0
ANDHRA PRADESH,2018,piracy,14.0
ANDHRA PRADESH,2018,political motive,12.0
ANDHRA PRADESH,2018,prank,0.0
ANDHRA PRADESH,2018,sexual exploitation,92.0
ANDHRA PRADESH,2018,terrorism,1.0
ANDHRA PRADESH,2019,abetment suicide,0.0
ANDHRA PRADESH,2019,data theft,2.0
ANDHRA PRADESH,2019,emotional motive,17.0
ANDHRA PRADESH,2019,extortion,28.0
ANDHRA PRADESH,2019,fraud,1211.0
ANDHRA PRADESH,2019,hate crime,0.0
ANDHRA PRADESH,2019,illegal trade,0.0
ANDHRA PRADESH,2019,personal revenge,16.0
ANDHRA PRADESH,2019,piracy,4.0
ANDHRA PRADESH,2019,political motive,88.0
ANDHRA PRADESH,2019,prank,5.0
ANDHRA PRADESH,2019,sexual exploitation,84.0
ANDHRA PRADESH,2019,terrorism,0.0
ANDHRA PRADESH,2020,abetment suicide,0.0
ANDHRA PRADESH,2020,data theft,4.0
ANDHRA PRADESH,2020,emotional motive,39.0
ANDHRA PRADESH,2020,extortion,56.0
ANDHRA PRADESH,2020,fraud,1149.0
ANDHRA PRADESH,2020,hate crime,0.0
ANDHRA PRADESH,2020,illegal trade,0.0
ANDHRA PRADESH,2020,personal revenge,83.0
ANDHRA PRADESH,2020,piracy,0.0
ANDHRA PRADESH,2020,political motive,67.0
ANDHRA PRADESH,2020,prank,2.0
ANDHRA PRADESH,2020,sexual exploitation,169.0
ANDHRA PRADESH,2020,terrorism,0.0
ANDHRA PRADESH,2021,abetment suicide,0.0
ANDHRA PRADESH,2021,data theft,3.0
ANDHRA PRADESH,2021,emotional motive,30.0
ANDHRA PRADESH,2021,extortion,64.0
ANDHRA PRADESH,2021,fraud,1245.0
ANDHRA PRADESH,2021,hate crime,0.0
ANDHRA PRADESH,2021,illegal trade,0.0
ANDHRA PRADESH,2021,personal revenge,46.0
ANDHRA PRADESH,2021,piracy,6.0
ANDHRA PRADESH,2021,political motive,36.0
ANDHRA PRADESH,2021,prank,0.0
ANDHRA PRADESH,2021,sexual exploitation,139.0
ANDHRA PRADESH,2021,terrorism,0.0
ANDHRA PRADESH,2023,abetment suicide,0.0
ANDHRA PRADESH,2023,data theft,0.0
ANDHRA PRADESH,2023,emotional motive,63.0
ANDHRA PRADESH,2023,extortion,126.0
ANDHRA PRADESH,2023,fraud,1334.0
ANDHRA PRADESH,2023,hate crime,0.0
ANDHRA PRADESH,2023,illegal trade,1.0
ANDHRA PRADESH,2023,personal revenge,88.0
ANDHRA PRADESH,2023,piracy,4.0
