year,state,category,cases,lag_1,lag_2,rolling_mean_3,growth_rate,state_encoded,category_encoded
2017,ANDHRA PRADESH,abetment suicide,0.0,0.0,0.0,0.0,0.0,1,1
2018,ANDHRA PRADESH,abetment suicide,1.0,0.0,0.0,0.0,inf,1,1
2019,ANDHRA PRADESH,abetment suicide,0.0,1.0,0.0,0.3333333333333333,-1.0,1,1
2020,ANDHRA PRADESH,abetment suicide,0.0,0.0,1.0,0.3333333333333333,0.0,1,1
2021,ANDHRA PRADESH,abetment suicide,0.0,0.0,0.0,0.0,0.0,1,1
2022,ANDHRA PRADESH,abetment suicide,0.0,0.0,0.0,0.0,0.0,1,1
2023,ANDHRA PRADESH,abetment suicide,0.0,0.0,0.0,0.0,0.0,1,1
2016,ANDHRA PRADESH,data theft,0.0,0.0,0.0,0.0,0.0,1,2
2017,ANDHRA PRADESH,data theft,0.0,0.0,0.0,0.0,0.0,1,2
2018,ANDHRA PRADESH,data theft,0.0,0.0,0.0,0.0,0.0,1,2
2019,ANDHRA PRADESH,data theft,2.0,0.0,0.0,0.6666666666666666,inf,1,2
2020,ANDHRA PRADESH,data theft,4.0,2.0,0.0,2.0,1.0,1,2
2021,ANDHRA PRADESH,data theft,3.0,4.0,2.0,3.0,-0.25,1,2
2022,ANDHRA PRADESH,data theft,1.5,3.0,4.0,2.8333333333333335,-0.5,1,2
2023,ANDHRA PRADESH,data theft,0.0,1.5,3.0,1.5,-1.0,1,2
2017,ANDHRA PRADESH,emotional motive,5.0,0.0,0.0,0.0,0.0,1,3
2018,ANDHRA PRADESH,emotional motive,26.0,5.0,0.0,0.0,4.2,1,3
2019,ANDHRA PRADESH,emotional motive,17.0,26.0,5.0,16.0,-0.34615384615384615,1,3
2020,ANDHRA PRADESH,emotional motive,39.0,17.0,26.0,27.333333333333332,1.2941176470588234,1,3
2021,ANDHRA PRADESH,emotional motive,30.0,39.0,17.0,28.666666666666668,-0.23076923076923073,1,3
2022,ANDHRA PRADESH,emotional motive,46.5,30.0,39.0,38.5,0.55,1,3
2023,ANDHRA PRADESH,emotional motive,63.0,46.5,30.0,46.5,0.35483870967741926,1,3
2016,ANDHRA PRADESH,extortion,7.0,0.0,0.0,0.0,0.0,1,4
2017,ANDHRA PRADESH,extortion,65.0,7.0,0.0,0.0,8.285714285714286,1,4
2018,ANDHRA PRADESH,extortion,45.0,65.0,7.0,39.0,-0.3076923076923077,1,4
2019,ANDHRA PRADESH,extortion,28.0,45.0,65.0,46.0,-0.37777777777777777,1,4
2020,ANDHRA PRADESH,extortion,56.0,28.0,45.0,43.0,1.0,1,4
2021,ANDHRA PRADESH,extortion,64.0,56.0,28.0,49.333333333333336,0.1428571428571428,1,4
2022,ANDHRA PRADESH,extortion,95.0,64.0,56.0,71.66666666666667,0.484375,1,4
2023,ANDHRA PRADESH,extortion,126.0,95.0,64.0,95.0,0.3263157894736841,1,4
2017,ANDHRA PRADESH,fraud,537.0,0.0,0.0,0.0,0.0,1,5
2018,ANDHRA PRADESH,fraud,733.0,537.0,0.0,0.0,0.36499068901303544,1,5
2019,ANDHRA PRADESH,fraud,1211.0,733.0,537.0,827.0,0.6521145975443383,1,5
2020,ANDHRA PRADESH,fraud,1149.0,1211.0,733.0,1031.0,-0.051197357555739065,1,5
2021,ANDHRA PRADESH,fraud,1245.0,1149.0,1211.0,1201.6666666666667,0.08355091383812008,1,5
2022,ANDHRA PRADESH,fraud,1289.5,1245.0,1149.0,1227.8333333333333,0.03574297188755016,1,5
2023,ANDHRA PRADESH,fraud,1334.0,1289.5,1245.0,1289.5,0.03450949980612639,1,5
2016,ANDHRA PRADESH,hate crime,2.0,0.0,0.0,0.0,0.0,1,6
2017,ANDHRA PRADESH,hate crime,0.0,2.0,0.0,0.0,-1.0,1,6
2018,ANDHRA PRADESH,hate crime,1.0,0.0,2.0,1.0,inf,1,6
